padding,p{t|r|b|l}-{size}
padding,pt-6
padding,1.5rem
padding,pr-4
padding,1rem
padding,pb-8
padding,2rem
padding,pl-2
padding,0.5rem
padding,"<div class=""pt-6 ..."">pt-6</div>
<div class=""pr-4 ..."">pr-4</div>
<div class=""pb-8 ..."">pb-8</div>
<div class=""pl-2 ..."">pl-2</div>"
padding,px-{size}
padding,"<div class=""px-8 ..."">px-8</div>"
padding,py-{size}
padding,"<div class=""py-8 ..."">py-8</div>"
padding,p-{size}
padding,"<div class=""p-8 ..."">p-8</div>"
padding,ps-*
padding,pe-*
padding,padding-inline-start
padding,padding-inline-end
padding,"<div dir=""ltr"">
  <div class=""ps-8 ..."">ps-8</div>
  <div class=""pe-8 ..."">pe-8</div>
<div>

<div dir=""rtl"">
  <div class=""ps-8 ..."">ps-8</div>
  <div class=""pe-8 ..."">pe-8</div>
<div>"
padding,hover:py-8
padding,py-8
padding,"<div class=""py-4 hover:py-8"">
  <!-- ... -->
</div>
"
padding,md:py-8
padding,py-8
padding,"<div class=""py-4 md:py-8"">
  <!-- ... -->
</div>
"
padding,theme.spacing
padding,theme.extend.spacing
padding,tailwind.config.js
padding,"module.exports = {
  theme: {
    extend: {
      spacing: {
        '5px': '5px',
      }
    }
  }
}
"
padding,theme.padding
padding,theme.extend.padding
padding,tailwind.config.js
padding,"module.exports = {
  theme: {
    extend: {
      padding: {
        '5px': '5px',
      }
    }
  }
}
"
padding,padding
padding,"<div class=""p-[5px]"">
  <!-- ... -->
</div>
"
margin,m{t|r|b|l}-{size}
margin,mt-6
margin,1.5rem
margin,mr-4
margin,1rem
margin,mb-8
margin,2rem
margin,ml-2
margin,0.5rem
margin,"<div class=""mt-6 ..."">mt-6</div>
<div class=""mr-4 ..."">mr-4</div>
<div class=""mb-8 ..."">mb-8</div>
<div class=""ml-2 ..."">ml-2</div>"
margin,mx-{size}
margin,"<div class=""mx-8 ..."">mx-8</div>"
margin,my-{size}
margin,"<div class=""my-8 ..."">my-8</div>"
margin,m-{size}
margin,"<div class=""m-8 ..."">m-8</div>"
margin,"<div class=""w-36 h-16 bg-sky-400 opacity-20 ...""></div>
<div class=""-mt-8 bg-sky-300 ..."">-mt-8</div>"
margin,ms-*
margin,me-*
margin,margin-inline-start
margin,margin-inline-end
margin,"<div dir=""ltr"">
  <div class=""ms-8 ..."">ms-8</div>
  <div class=""me-8 ..."">me-8</div>
<div>

<div dir=""rtl"">
  <div class=""ms-8 ..."">ms-8</div>
  <div class=""me-8 ..."">me-8</div>
<div>"
margin,hover:mt-8
margin,mt-8
margin,"<div class=""mt-4 hover:mt-8"">
  <!-- ... -->
</div>
"
margin,md:mt-8
margin,mt-8
margin,"<div class=""mt-4 md:mt-8"">
  <!-- ... -->
</div>
"
margin,theme.spacing
margin,theme.extend.spacing
margin,tailwind.config.js
margin,"module.exports = {
  theme: {
    extend: {
      spacing: {
        '5px': '5px',
      }
    }
  }
}
"
margin,theme.margin
margin,theme.extend.margin
margin,tailwind.config.js
margin,"module.exports = {
  theme: {
    extend: {
      margin: {
        '5px': '5px',
      }
    }
  }
}
"
margin,margin
margin,"<div class=""m-[5px]"">
  <!-- ... -->
</div>
"
space,space-x-{amount}
